,epoch_accuracies,epoch_accuracies_real,epoch_accuracies_fake,epoch_auc_scores,epoch_f1_scores,mean_real,mean_fake,loss_d,loss_rf_real,loss_rf_fake_d,loss_jigsaw_real,loss_g,loss_rf_fake_g,loss_jigsaw_fake
144,0.9857594936708861,0.9825949367088608,0.9889240506329114,0.998978111814346,0.9846165019778201,0.9636947,0.032165542,2.701194733004027,0.054550021233324836,0.04786044785203727,2.5987842706688347,6.594052324818157,6.594052324818157,2.6134986535406313
145,0.982023558368495,0.9815400843881856,0.9825070323488045,0.9990110759493671,0.9805221265888195,0.96635485,0.037558287,2.698440168477312,0.05446638697420774,0.04605030184355024,2.5979234850356345,6.655539817447904,6.655539817447904,2.5989440091048617
146,0.9882208157524612,0.9830344585091422,0.9934071729957806,0.9997362869198312,0.9875646049217467,0.9681107,0.021069199,2.6849200031425378,0.04658134305431331,0.043318147908382655,2.595020516512263,7.387441599922341,7.387441599922341,2.607371960008195
147,0.9715189873417721,0.9672995780590717,0.9757383966244726,0.9989121835443038,0.9679735441604205,0.95227087,0.042560138,2.764493977470237,0.08395290150732732,0.08311060777618053,2.597430467605591,7.081179311003866,7.081179311003866,2.6215108416754487
148,0.9888800984528832,0.9877812939521801,0.9899789029535865,0.9997198048523207,0.988659335608674,0.9703692,0.02646266,2.6674637482639105,0.04051045667142045,0.037094460766765446,2.5898588347535596,6.862212592539405,6.862212592539405,2.6168677696195837
149,0.9903744725738397,0.9889240506329114,0.991824894514768,0.9997527689873418,0.9902589981813131,0.9705939,0.023969736,2.672363007621926,0.039071003223830496,0.040474936429630744,2.5928170731299036,7.094979983341845,7.094979983341845,2.604736237586299
150,0.9885284810126582,0.9857594936708861,0.9912974683544303,0.9998186972573839,0.9877628540131512,0.9706919,0.025736146,2.676073768470861,0.04321935748431173,0.041314158733215284,2.591540260153984,7.3794797613650935,7.3794797613650935,2.604339384328464
151,0.9902426160337553,0.9897151898734177,0.9907700421940928,0.999489055907173,0.9901060568358848,0.974191,0.024609875,2.6680311392128218,0.036872422161761606,0.036290180024491435,2.594868538248891,7.215659070115552,7.215659070115552,2.620006980775278
152,0.9836497890295358,0.9804852320675106,0.9868143459915611,0.9997362869198312,0.9812189647309763,0.9660851,0.026690856,2.683070486607934,0.04962827554812426,0.04070075959614247,2.5927414481649924,7.415479735483097,7.415479735483097,2.6075808991862752
153,0.952795358649789,0.9485759493670886,0.9570147679324894,0.9956157700421941,0.9513956264088783,0.9304047,0.061874937,2.8830690635407525,0.12797746171471502,0.1500818897840243,2.6050097177803266,7.179640569264376,7.179640569264376,2.6203252625364795
154,0.984045358649789,0.9828586497890295,0.9852320675105485,0.9991264504219409,0.9832975001642031,0.9639707,0.033565503,2.6946173458662717,0.05231586461890908,0.050198514910929595,2.5921029742759996,6.725937151204684,6.725937151204684,2.6209917048361735
155,0.9916051336146273,0.9900668073136427,0.9931434599156118,0.9997033227848101,0.9908870940790767,0.9748002,0.02596293,2.6586423956392182,0.0366200289259437,0.030624651795357293,2.591397706969378,6.659190180935437,6.659190180935437,2.6025640501754697
156,0.9770569620253164,0.9741561181434599,0.979957805907173,0.9981869725738397,0.9762153039554978,0.95718044,0.03808518,2.7284339540618383,0.06772115794545143,0.07071882570620924,2.5899939728185597,7.249832967162635,7.249832967162635,2.6171386785145048
157,0.9915611814345991,0.9902426160337553,0.992879746835443,0.999637394514768,0.9912775413828264,0.9727765,0.024112094,2.6632399689799118,0.036590521580829365,0.03398961786561172,2.592659827526109,7.289594926914585,7.289594926914585,2.6081440036306907
158,0.9951213080168776,0.9923523206751055,0.9978902953586498,0.9999670358649789,0.9947842749877829,0.97817814,0.013863362,2.6394639709327796,0.02720844451936738,0.027129315492342904,2.585126204832697,7.4034251965550935,7.4034251965550935,2.6004566603069064
159,0.9894075246132208,0.9851441631504924,0.9936708860759493,0.9998351793248945,0.9885303920668329,0.97391623,0.021106841,2.6634638671633564,0.038400833726282314,0.03413462822570224,2.590928408667005,7.22426965568639,7.22426965568639,2.601661455782154
160,0.9808808016877637,0.9778481012658228,0.9839135021097046,0.9990110759493671,0.980260384325669,0.9652223,0.029035117,2.7041012305247634,0.0543950101124778,0.05470280910438167,2.595003414757644,7.580897135070607,7.580897135070607,2.629211361398174
161,0.9860232067510548,0.9839135021097046,0.9881329113924051,0.999489055907173,0.9856928816268101,0.9706578,0.030019887,2.6636018250058977,0.044121343522335495,0.03766350801124491,2.5818169770864494,7.189023116469886,7.189023116469886,2.6151346677466285
162,0.9767932489451476,0.9728375527426161,0.9807489451476793,0.9989945938818565,0.9750479761350204,0.9594002,0.03326953,2.7494126895309,0.07779380393527896,0.07559883618553724,2.596020049686673,7.859835172001319,7.859835172001319,2.5959125168715853
163,0.9807489451476793,0.9810126582278481,0.9804852320675106,0.9992747890295358,0.9805806800938163,0.96253186,0.0359454,2.698805677236887,0.05696811435509018,0.05316040484799084,2.5886771528026724,7.276945574374139,7.276945574374139,2.6058294179570325
164,0.9919567510548524,0.9897151898734177,0.994198312236287,0.9997692510548524,0.9917899556258385,0.97371507,0.022017865,2.6523278775597423,0.034096896584166723,0.03227847592867341,2.5859525052806998,7.255316878169901,7.255316878169901,2.6082076452955416
165,0.994198312236287,0.9931434599156118,0.995253164556962,0.9998516613924051,0.9941182672046245,0.9790663,0.019473981,2.6381082192754945,0.026675964240180466,0.02732276113253536,2.584109499484678,7.117138853555994,7.117138853555994,2.6098863303912845
166,0.9932753164556962,0.989451476793249,0.9970991561181435,0.9999011075949367,0.9925770146487487,0.97633946,0.015390116,2.6497144598498124,0.034487509334715234,0.03172262418935087,2.583504326735871,7.707690692652127,7.707690692652127,2.594323918789248
167,0.9857594936708861,0.984704641350211,0.9868143459915611,0.9998022151898734,0.9854928222714499,0.9699532,0.027237944,2.6701984928630074,0.043804010408661546,0.04165711005772067,2.584737374309749,7.628331708505687,7.628331708505687,2.6118599885626685
168,0.9910337552742616,0.9907700421940928,0.9912974683544303,0.9997692510548524,0.9909358614452398,0.9759821,0.022304323,2.6479321532108613,0.03376680901862359,0.03293765420369207,2.581227693879655,7.672521714922748,7.672521714922748,2.5937955701401467
169,0.9766613924050633,0.9704641350210971,0.9828586497890295,0.99879680907173,0.9749729734902948,0.95848656,0.031355355,2.72683145124701,0.0755192192635827,0.06476608178563151,2.586546155470836,7.923862181635346,7.923862181635346,2.604500305803516
