,epoch_accuracies,epoch_accuracies_real,epoch_accuracies_fake,epoch_auc_scores,epoch_f1_scores,mean_real,mean_fake,loss_d,loss_rf_real,loss_rf_fake_d,loss_g
3,0.9926160337552743,0.9862869198312236,0.9989451476793249,0.9992088607594937,0.9920669045954111,0.97636056,0.004947392,0.07458952655374733,0.040829627341233625,0.03375989935143374,8.889294052928811
4,0.9862869198312236,0.9770569620253164,0.9955168776371308,0.999489055907173,0.9855051811471737,0.96796477,0.012341952,0.10781639664657885,0.05854686645830331,0.049269529652826854,7.888286842072564
5,0.9832542194092827,0.9717827004219409,0.9947257383966245,0.9995220200421941,0.9814562564899819,0.9633756,0.011780057,0.1299103519013289,0.07413992686913283,0.055770424597525244,8.678948663961032
6,0.9815400843881856,0.9662447257383966,0.9968354430379747,0.9993736814345991,0.9794015285632319,0.9547934,0.009376113,0.14646486958274166,0.08446950826370893,0.06199536147878688,9.182102467943345
7,0.9789029535864979,0.9683544303797469,0.989451476793249,0.9946762921940928,0.9755867186268131,0.9563572,0.022528322,0.1556995800064011,0.08595772474574938,0.06974185457615459,7.84466510080587
8,0.9664205344585092,0.946026722925457,0.9868143459915611,0.9936232712142522,0.962266353537559,0.931985,0.028778257,0.26758695088173673,0.15483564061385566,0.11275130893287719,6.797443596119619
9,0.9720024613220815,0.959915611814346,0.9840893108298172,0.9946085325832161,0.9684820567588851,0.9393402,0.03353638,0.2026890148939211,0.11821670916693997,0.0844723056744377,6.037665353042667
10,0.9712552742616034,0.9554324894514767,0.98707805907173,0.997626582278481,0.9688138100797349,0.9320054,0.027049258,0.2218150427900962,0.11520799702532403,0.10660704557463886,6.80189371511403
11,0.9831223628691983,0.9691455696202531,0.9970991561181435,0.9989616297468354,0.981168772731626,0.94925004,0.016813178,0.151498195870469,0.08516549048799174,0.06633270530939533,6.672646460150868
12,0.9783755274261603,0.9641350210970464,0.9926160337552743,0.9992253428270043,0.9750251762727064,0.9433194,0.022041103,0.1775107140847352,0.09935382514875543,0.07815688842763747,6.646793584280376
13,0.984045358649789,0.9715189873417721,0.9965717299578059,0.9995879483122363,0.9808671292626266,0.9559504,0.015247056,0.12832500592926774,0.07297063072069691,0.05535437521910963,6.780098570047048
