,train_loss,train_accuracy,train_iou,val_loss,val_accuracy,val_iou
0,0.9705701533116793,0.593236,0.37352476,0.9183061343172322,0.6824636,0.42056644
1,0.8594073464995936,0.70785224,0.42620286,0.855232632678488,0.7044741,0.43304875
2,0.817092992757496,0.7392083,0.44235003,0.8760826626549596,0.6752681,0.46838504
3,0.8036730163975766,0.7475982,0.45527494,0.841318411671597,0.70813024,0.4294175
4,0.7796525923829329,0.77053726,0.48098454,0.85237699099209,0.6930366,0.3393151
5,0.7521415635159141,0.79784596,0.51628,0.8524486072685408,0.69299716,0.3293732
6,0.7395773875085931,0.8096324,0.53030735,0.8359465223291646,0.71110535,0.4128186
7,0.726258607287156,0.8223746,0.54328644,0.8320715816124625,0.71438265,0.46167424
8,0.7093425863667538,0.8382962,0.56329304,0.8376696239347043,0.7091336,0.41377175
9,0.7004266318522001,0.8465252,0.5735198,0.8305320415807806,0.7166204,0.4479036
10,0.6901567892024392,0.85643697,0.5954388,0.8328298835650735,0.7134048,0.42926344
11,0.6836590515939813,0.86397564,0.61401904,0.8297275706477787,0.7158031,0.44050357
12,0.674525050740493,0.8747735,0.63798,0.8294591722281083,0.7152693,0.44190365
13,0.6641446540230199,0.88783664,0.6730133,0.8308703990086265,0.713701,0.42766806
14,0.6571873238212184,0.89642334,0.69584316,0.8289410096147786,0.71535194,0.4489919
15,0.6494928065099215,0.9040046,0.721722,0.8293246963749761,0.71454453,0.42954051
16,0.6450088965265375,0.90831506,0.73521185,0.8292105120161305,0.7150192,0.43447357
17,0.6410143344025863,0.9120045,0.74497956,0.8442519955013109,0.69515294,0.42017123
18,0.6376541790209318,0.9149949,0.7505723,0.8404560218686643,0.7001233,0.40239844
19,0.6296937842118112,0.92352724,0.77379346,0.8371690045232358,0.7051405,0.45254079
